,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
0,Agincourt North,129,M1S,Scarborough,29113,30280,-3.9,7.3,3988.082191780822,0.25,0.03424657534246575,66,38.09,13865,67622,8250,1360,765,375307,,3155,7335,1810,4.052486187845304,1610,3175,2940,1410,2670,976,21955,5805,10985,5965,10,63,8,49,12,16,4,0,0,-79.266712166,43.8054405769,5.550072461624915,9.808871258564732,162
1,Agincourt South-Malvern West,128,M1S,Scarborough,23757,21990,8.0,7.9,3007.215189873418,0.24,0.030379746835443037,66,35.26,12045,68465,6400,1185,756,332710,,3120,5250,1635,3.2110091743119265,1455,2735,2515,1230,2230,971,17525,5765,10285,4065,9,106,9,61,18,26,11,0,0,-79.2656117966,43.788657551099995,4.859563280508289,9.838107098381071,240
2,Alderwood,20,M8W,Etobicoke,12054,11900,1.3,5.0,2410.8,0.29,0.057999999999999996,70,11.41,6825,83584,1090,415,764,504233,,1005,3635,1030,3.529126213592233,1210,1815,1495,630,895,984,9175,2290,5300,2290,4,31,1,26,8,18,8,0,1,-79.5416109273,43.6049368959,6.032649789433385,6.08058608058608,97
3,Annex,95,M5R,Central Toronto,30526,29180,4.6,2.8,10902.142857142859,0.11,0.03928571428571429,94,38.85,18560,141111,4260,1250,755,993491,,6445,5770,9780,0.5899795501022495,2330,6260,4000,1410,905,1237,24870,16590,20430,1685,43,206,29,123,29,18,20,0,3,-79.4040006243,43.6715854351,7.040492945270036,6.734913793103449,471
4,Banbury-Don Mills,42,M3B,North York,27695,26910,2.9,10.0,2769.5,1.28,0.128,67,21.31,14015,115239,3790,1010,776,613647,,4045,7035,4735,1.4857444561774023,1695,3475,3110,1540,1565,1213,22030,10850,15950,2300,13,68,7,55,12,6,9,0,1,-79.3497179808,43.737657004300004,5.324994142607971,7.20656439529076,171
5,Bathurst Manor,34,M3H,North York,15873,15435,2.8,4.8,3306.875,1.31,0.2729166666666667,61,18.8,8620,76914,2620,620,745,568877,,2175,3230,2790,1.157706093189964,850,1750,2120,1465,1180,1015,11970,4980,8200,2450,0,56,2,34,8,24,4,0,0,-79.4560551588,43.7648133077,7.396273760303716,7.192575406032482,128
6,Bay Street Corridor,76,M5H,Downtown Toronto,25797,19345,1.3,1.8,14331.666666666666,0.14,0.07777777777777778,99,24.83,15000,90324,12820,1535,755,457787,,8520,3775,7625,0.49508196721311476,3175,4900,2200,690,855,1467,17365,15090,17505,695,132,579,88,118,100,25,41,1,3,-79.3857212509,43.6575113467,5.068276427084717,10.233333333333333,1087
7,Bayview Village,52,M2K,North York,21396,17675,21.1,5.2,4114.615384615385,1.12,0.2153846153846154,71,32.12,11885,92800,4250,910,768,533089,,4320,4805,2565,1.8732943469785575,860,2560,3065,1865,1480,1441,16700,9790,13740,1260,8,67,9,33,8,13,5,0,0,-79.3771168597,43.7763605236,5.744493534482759,7.656710138830459,143
8,Bayview Woods-Steeles,49,M2K,North York,13154,13535,-2.8,4.1,3208.2926829268295,0.91,0.22195121951219515,57,35.61,6205,88861,3080,495,777,784397,,1810,2795,1930,1.4481865284974094,480,1385,1320,770,1000,1459,10320,5120,7470,1420,3,31,7,33,0,18,1,0,1,-79.3821179542,43.7968018666,8.827235795230754,7.977437550362611,94
9,Bedford Park-Nortown,39,M5M,North York,23236,23185,0.2,5.5,4224.727272727273,0.09,0.01636363636363636,73,47.74,11835,161110,2440,650,776,1191040,,2320,5960,2755,2.163339382940109,1560,3060,2995,1200,725,1124,15720,9625,12765,1890,5,30,4,100,12,30,9,0,1,-79.4202273481,43.731486231800005,7.392713053193471,5.492184199408534,191
