,Neighborhood,Latitude,Longitude,1st Parent Category,2nd Parent Category,3rd Parent Category,4th Parent Category,5th Parent Category,6th Parent Category,7th Parent Category,8th Parent Category,9th Parent Category,10th Parent Category
0,Agincourt North,43.8054405769,-79.266712166,Restaurant,Fast Food,Retail,Cafe,Liquor Store,Park,Convenience Store,Medical,Gym,Bank
1,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Restaurant,Retail,Bank,University,Hotel,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment
2,Alderwood,43.6049368959,-79.5416109273,Fast Food,Coffee Shop,Convenience Store,Medical,University,Hotel,Bank,Bar/Club,Cafe,Entertainment
3,Annex,43.6715854351,-79.4040006243,Restaurant,Fast Food,Cafe,Retail,Bar/Club,Park,Coffee Shop,Medical,Grocery,University
4,Banbury-Don Mills,43.737657004300000,-79.3497179808,Retail,Coffee Shop,Fast Food,Restaurant,Cafe,Medical,University,Gym,Bank,Bar/Club
5,Bathurst Manor,43.7648133077,-79.4560551588,Park,Athletics & Sports,Convenience Store,Hotel,Bank,Bar/Club,Cafe,Coffee Shop,Entertainment,Event Hall
6,Bay Street Corridor,43.6575113467,-79.3857212509,Restaurant,Coffee Shop,Retail,Cafe,Fast Food,Bar/Club,Salon,Gym,Hotel,Office
7,Bayview Village,43.7763605236,-79.3771168597,Retail,Professional Services,Park,Outdoor,University,Gym,Bank,Bar/Club,Cafe,Coffee Shop
8,Bayview Woods-Steeles,43.7968018666,-79.3821179542,Park,Athletics & Sports,Hotel,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall
9,Bedford Park-Nortown,43.731486231800000,-79.4202273481,Restaurant,Fast Food,Cafe,Coffee Shop,Retail,Bar/Club,Grocery,University,Hotel,Bank
10,Beechborough-Greenbrook,43.6932164866,-79.4794725057,Fast Food,Restaurant,Gym,University,Hotel,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store
11,Bendale ,43.7603663086,-79.2574003723,Park,Restaurant,Outdoor,Museum ,University,Gym,Bank,Bar/Club,Cafe,Coffee Shop
