Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
Agincourt North,0,0,0,2,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,2,0,0,0
Agincourt South-Malvern West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0
Alderwood,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Annex,0,0,2,4,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,8,2,0,0,0
Banbury-Don Mills,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0
Bathurst Manor,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bay Street Corridor,0,0,3,6,19,1,0,0,5,0,1,2,2,0,0,0,0,0,1,0,1,0,1,27,9,2,0,0
Bayview Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bayview Woods-Steeles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bedford Park-Nortown,0,0,1,3,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
Beechborough-Greenbrook,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bendale ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
Birchcliffe-Cliffside,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black Creek,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Blake-Jones ,0,0,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
Briar Hill-Belgravia ,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Bridle Path-Sunnybrook-York Mills ,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Broadview North ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brookhaven-Amesbury ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cabbagetown-South St.James Town ,0,1,2,6,4,0,1,0,3,0,2,0,0,1,1,0,0,0,1,0,3,0,0,11,4,0,0,0
Caledonia-Fairbank ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Casa Loma ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0
Centennial Scarborough ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Church-Yonge Corridor ,0,0,5,3,12,1,0,0,6,0,2,2,2,0,1,0,0,1,0,2,2,0,0,25,8,2,0,0
