,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Agincourt North,43.8054405769,-79.266712166,Menchie's,43.80833791536094,-79.26828825119229,Ice Cream Shop
1,Agincourt North,43.8054405769,-79.266712166,Shoppers Drug Mart,43.808894,-79.269854,Pharmacy
2,Agincourt North,43.8054405769,-79.266712166,Congee Town 太皇名粥,43.80903482487377,-79.26763433869755,Chinese Restaurant
3,Agincourt North,43.8054405769,-79.266712166,Dollarama,43.808894,-79.269854,Discount Store
4,Agincourt North,43.8054405769,-79.266712166,Subway,43.80900706809853,-79.26762743677006,Sandwich Place
5,Agincourt North,43.8054405769,-79.266712166,The Beer Store,43.8092863,-79.2636758,Beer Store
6,Agincourt North,43.8054405769,-79.266712166,Popeyes Louisiana Kitchen,43.80865177635264,-79.2679286798945,Fried Chicken Joint
7,Agincourt North,43.8054405769,-79.266712166,Pizza Pizza,43.80831774036611,-79.26853687580636,Pizza Place
8,Agincourt North,43.8054405769,-79.266712166,Iroquois Park,43.80366643665737,-79.26798888527924,Park
9,Agincourt North,43.8054405769,-79.266712166,Wild Wing,43.80879900043356,-79.26780785019103,Wings Joint
10,Agincourt North,43.8054405769,-79.266712166,Le Château,43.808635288928365,-79.26829717339312,Clothing Store
11,Agincourt North,43.8054405769,-79.266712166,Kin Kin Bubble Tea Co,43.807851553703514,-79.27029551638599,Chinese Restaurant
12,Agincourt North,43.8054405769,-79.266712166,LCBO,43.808125688695895,-79.27004592050454,Liquor Store
13,Agincourt North,43.8054405769,-79.266712166,Smokers Corner Newstand,43.808624242713506,-79.2694367295796,Convenience Store
14,Agincourt North,43.8054405769,-79.266712166,Everbest Bakery,43.80889916631563,-79.26962940679175,Bakery
15,Agincourt North,43.8054405769,-79.266712166,Xe Lua Vietnamese Cuisine 火車頭,43.809224039056005,-79.26954724166934,Vietnamese Restaurant
16,Agincourt North,43.8054405769,-79.266712166,Bento Box,43.809247850827546,-79.26902935359769,Japanese Restaurant
17,Agincourt North,43.8054405769,-79.266712166,McDonald's,43.808313563434496,-79.26746149002385,Fast Food Restaurant
18,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Congee Me 小米粥鋪,43.787391662597656,-79.26838684082031,Chinese Restaurant
