,Neighborhood,Area Code,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Owned,Rented,Own Rent Ratio,Population Change,Latitude,Longitude,Geo Name
0,Agincourt North,129,1610.0,3175.0,2940.0,1410.0,2670.0,7335.0,1810.0,4.052486187845304,-3.9,43.8054405769,-79.266712166,M1S
1,Agincourt South-Malvern West,128,1455.0,2735.0,2515.0,1230.0,2230.0,5250.0,1635.0,3.2110091743119265,8.0,43.788657551099995,-79.2656117966,M1S
2,Alderwood,20,1210.0,1815.0,1495.0,630.0,895.0,3635.0,1030.0,3.529126213592233,1.3,43.6049368959,-79.5416109273,M8W
3,Annex,95,2330.0,6260.0,4000.0,1410.0,905.0,5770.0,9780.0,0.5899795501022495,4.6,43.6715854351,-79.4040006243,M5R
4,Banbury-Don Mills,42,1695.0,3475.0,3110.0,1540.0,1565.0,7035.0,4735.0,1.4857444561774023,2.9,43.737657004300004,-79.3497179808,M3B
5,Bathurst Manor,34,850.0,1750.0,2120.0,1465.0,1180.0,3230.0,2790.0,1.157706093189964,2.8,43.7648133077,-79.4560551588,M3H
6,Bay Street Corridor,76,3175.0,4900.0,2200.0,690.0,855.0,3775.0,7625.0,0.49508196721311476,33.3,43.6575113467,-79.3857212509,M5G
7,Bayview Village,52,860.0,2560.0,3065.0,1865.0,1480.0,4805.0,2565.0,1.8732943469785575,21.1,43.7763605236,-79.3771168597,M2K
8,Bayview Woods-Steeles,49,480.0,1385.0,1320.0,770.0,1000.0,2795.0,1930.0,1.4481865284974094,-2.8,43.7968018666,-79.3821179542,M2K
9,Bedford Park-Nortown,39,1560.0,3060.0,2995.0,1200.0,725.0,5960.0,2755.0,2.163339382940109,0.2,43.731486231800005,-79.4202273481,M5M
10,Beechborough-Greenbrook,112,255.0,545.0,785.0,460.0,615.0,905.0,1765.0,0.5127478753541076,1.4,43.6932164866,-79.4794725057,M6M
11,Bendale,127,1570.0,2845.0,3110.0,1900.0,3000.0,6720.0,3275.0,2.051908396946565,7.5,43.7603663086,-79.2574003723,M1P
12,Birchcliffe-Cliffside,122,1270.0,2420.0,2770.0,1750.0,1890.0,6170.0,3015.0,2.046434494195688,2.0,43.694681978599995,-79.2650925923,M1N
13,Black Creek,24,955.0,2295.0,2045.0,875.0,1745.0,2390.0,4855.0,0.4922760041194645,-1.5,43.7648902472,-79.5219793188,M3N
14,Blake-Jones,69,345.0,965.0,1205.0,515.0,335.0,1760.0,1480.0,1.1891891891891893,-0.5,43.67617287979999,-79.3373941732,M4J
15,Briar Hill-Belgravia,108,605.0,1530.0,2590.0,1235.0,1260.0,2870.0,2940.0,0.9761904761904762,-0.3,43.699024381,-79.4528512962,M6E
16,Bridle Path-Sunnybrook-York Mills,41,415.0,1075.0,1205.0,340.0,190.0,2805.0,200.0,14.025,6.3,43.7310131378,-79.3789041759,M3C
17,Broadview North,57,590.0,1520.0,1995.0,910.0,590.0,1915.0,3695.0,0.5182679296346414,-0.6,43.688825119200004,-79.3556295118,M4K
18,Brookhaven-Amesbury,30,760.0,1830.0,2210.0,1305.0,1820.0,2660.0,3730.0,0.7131367292225201,-0.2,43.701326305600006,-79.485589259,M6M
19,Cabbagetown-South St. James Town,71,900.0,2470.0,1700.0,510.0,475.0,2940.0,3690.0,0.7967479674796748,-3.2,43.667647727399995,-79.36610665810001,M4X
20,Caledonia-Fairbank,109,345.0,1030.0,1515.0,1045.0,1030.0,2425.0,1090.0,2.2247706422018347,1.1,43.688568651000004,-79.4552120796,M6E
21,Casa Loma,96,650.0,1975.0,1670.0,580.0,220.0,2225.0,3095.0,0.7189014539579968,4.6,43.6818521005,-79.4080066472,M4V
22,Centennial Scarborough,133,670.0,1465.0,1410.0,925.0,1705.0,3965.0,305.0,13.0,2.1,43.7823764958,-79.1508432723,M1C
23,Church-Yonge Corridor,75,3740.0,7310.0,4060.0,1445.0,1540.0,5330.0,12900.0,0.4131782945736434,10.6,43.6596488635,-79.3790171666,M5B
24,Clairlea-Birchmount,120,1355.0,2580.0,3510.0,2655.0,2305.0,5770.0,2980.0,1.936241610738255,8.9,43.713592375,-79.28138178420001,M1L
25,Clanton Park,33,1095.0,2255.0,2410.0,1220.0,1090.0,2925.0,2610.0,1.1206896551724137,12.7,43.7419784331,-79.4463025758,M3H
26,Cliffcrest,123,760.0,1800.0,1725.0,1120.0,1395.0,4070.0,1755.0,2.319088319088319,1.5,43.7211211669,-79.2355295687,M1M
