,Postal Code,Neighborhood,Borough,Dwelling,Income,HouseholdIncome,Latitude,Longitude
0,M3A,Parkwoods,North York,698502.0,29409.0,64761.0,43.7532586,-79.3296565
1,M4A,Victoria Village,North York,501537.0,27508.0,54905.0,43.725882299999995,-79.31557159999998
2,M5A,Regent Park,Downtown Toronto,450411.0,31192.0,52623.0,43.6542599,-79.3606359
3,M5A,Regent Park,Downtown Toronto,450411.0,31192.0,52623.0,43.6542599,-79.3606359
4,M6A,Lawrence Manor,North York,500266.0,26757.0,53933.0,43.718517999999996,-79.46476329999999
5,M6A,Lawrence Manor,North York,500266.0,26757.0,53933.0,43.718517999999996,-79.46476329999999
7,M9A,Islington Avenue,Etobicoke,999848.0,39370.0,75907.0,43.6678556,-79.53224240000002
8,M1B,Malvern,Scarborough,449320.0,24832.0,69126.0,43.806686299999996,-79.19435340000001
9,M1B,Malvern,Scarborough,449320.0,24832.0,69126.0,43.806686299999996,-79.19435340000001
10,M3B,Don Mills North,North York,1301739.0,47756.0,108267.0,43.745905799999996,-79.352188
11,M4B,Parkview Hill,East York,696953.0,29895.0,60749.0,43.7063972,-79.309937
12,M4B,Parkview Hill,East York,696953.0,29895.0,60749.0,43.7063972,-79.309937
13,M5B,Garden District,Downtown Toronto,500104.0,29967.0,49856.0,43.6571618,-79.37893709999999
14,M5B,Garden District,Downtown Toronto,500104.0,29967.0,49856.0,43.6571618,-79.37893709999999
15,M6B,Glencairn,North York,798767.0,30257.0,66282.0,43.709577,-79.44507259999999
16,M9B,West Deane Park,Etobicoke,752180.0,39389.0,88576.0,43.6509432,-79.55472440000001
17,M9B,West Deane Park,Etobicoke,752180.0,39389.0,88576.0,43.6509432,-79.55472440000001
18,M9B,West Deane Park,Etobicoke,752180.0,39389.0,88576.0,43.6509432,-79.55472440000001
19,M9B,West Deane Park,Etobicoke,752180.0,39389.0,88576.0,43.6509432,-79.55472440000001
20,M9B,West Deane Park,Etobicoke,752180.0,39389.0,88576.0,43.6509432,-79.55472440000001
21,M1C,Port Union,Scarborough,697679.0,37454.0,109785.0,43.7845351,-79.16049709999999
22,M1C,Port Union,Scarborough,697679.0,37454.0,109785.0,43.7845351,-79.16049709999999
23,M1C,Port Union,Scarborough,697679.0,37454.0,109785.0,43.7845351,-79.16049709999999
24,M3C,Don Mills South,North York,341357.0,26270.0,57275.0,43.72589970000001,-79.340923
25,M3C,Don Mills South,North York,341357.0,26270.0,57275.0,43.72589970000001,-79.340923
26,M4C,Woodbine Heights,East York,647627.0,29627.0,60646.0,43.695343900000005,-79.3183887
27,M5C,St. James Town,Downtown Toronto,419864.0,56277.0,83872.0,43.6514939,-79.3754179
28,M6C,Humewood-Cedarvale,York,898474.0,35726.0,69058.0,43.6937813,-79.42819140000002
29,M9C,Old Burnhamthorpe,Etobicoke,552402.0,35788.0,77818.0,43.6435152,-79.57720079999999
30,M9C,Old Burnhamthorpe,Etobicoke,552402.0,35788.0,77818.0,43.6435152,-79.57720079999999
31,M9C,Old Burnhamthorpe,Etobicoke,552402.0,35788.0,77818.0,43.6435152,-79.57720079999999
32,M9C,Old Burnhamthorpe,Etobicoke,552402.0,35788.0,77818.0,43.6435152,-79.57720079999999
33,M1E,West Hill,Scarborough,500845.0,26902.0,62047.0,43.7635726,-79.1887115
34,M1E,West Hill,Scarborough,500845.0,26902.0,62047.0,43.7635726,-79.1887115
35,M1E,West Hill,Scarborough,500845.0,26902.0,62047.0,43.7635726,-79.1887115
36,M4E,The Beaches,East Toronto,848174.0,49069.0,94587.0,43.67635739999999,-79.2930312
37,M5E,Berczy Park,Downtown Toronto,549317.0,60358.0,89969.0,43.644770799999996,-79.3733064
38,M6E,Caledonia-Fairbanks,York,601615.0,26995.0,61113.0,43.6890256,-79.453512
39,M1G,Woburn,Scarborough,550600.0,21835.0,54450.0,43.7709921,-79.21691740000001
40,M4G,Leaside,East York,1199496.0,57528.0,115833.0,43.7090604,-79.3634517
41,M5G,Central Bay Street,Downtown Toronto,499849.0,28422.0,49696.0,43.6579524,-79.3873826
42,M6G,Christie,Downtown Toronto,897766.0,32929.0,72363.0,43.669542,-79.4225637
43,M1H,Cedarbrae,Scarborough,448587.0,24803.0,58492.0,43.773136,-79.23947609999999
44,M2H,Hillcrest Village,North York,697821.0,25523.0,72220.0,43.8037622,-79.3634517
45,M3H,Wilson Heights,North York,898216.0,31943.0,71558.0,43.7543283,-79.4422593
46,M3H,Wilson Heights,North York,898216.0,31943.0,71558.0,43.7543283,-79.4422593
47,M3H,Wilson Heights,North York,898216.0,31943.0,71558.0,43.7543283,-79.4422593
48,M4H,Thorncliffe Park,East York,274683.0,19115.0,43945.0,43.7053689,-79.34937190000001
49,M5H,Richmond,Downtown Toronto,501119.0,55117.0,86101.0,43.65057120000001,-79.3845675
50,M5H,Richmond,Downtown Toronto,501119.0,55117.0,86101.0,43.65057120000001,-79.3845675
51,M5H,Richmond,Downtown Toronto,501119.0,55117.0,86101.0,43.65057120000001,-79.3845675
52,M6H,Dufferin,West Toronto,751791.0,29554.0,63550.0,43.66900510000001,-79.4422593
53,M6H,Dufferin,West Toronto,751791.0,29554.0,63550.0,43.66900510000001,-79.4422593
54,M1J,Scarborough Village,Scarborough,500732.0,23932.0,54507.0,43.7447342,-79.23947609999999
55,M2J,Oriole,North York,599191.0,25536.0,63471.0,43.7785175,-79.3465557
56,M2J,Oriole,North York,599191.0,25536.0,63471.0,43.7785175,-79.3465557
57,M2J,Oriole,North York,599191.0,25536.0,63471.0,43.7785175,-79.3465557
58,M3J,York University,North York,499865.0,22966.0,54031.0,43.7679803,-79.48726190000001
59,M3J,York University,North York,499865.0,22966.0,54031.0,43.7679803,-79.48726190000001
60,M4J,East Toronto,East York,749802.0,33899.0,72720.0,43.685347,-79.3381065
61,M5J,Union Station,Downtown Toronto,469740.0,55508.0,85077.0,43.6408157,-79.38175229999999
62,M5J,Union Station,Downtown Toronto,469740.0,55508.0,85077.0,43.6408157,-79.38175229999999
63,M5J,Union Station,Downtown Toronto,469740.0,55508.0,85077.0,43.6408157,-79.38175229999999
64,M6J,Trinity,West Toronto,800535.0,34929.0,71745.0,43.647926700000006,-79.4197497
65,M6J,Trinity,West Toronto,800535.0,34929.0,71745.0,43.647926700000006,-79.4197497
66,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
67,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
68,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
69,M2K,Bayview Village,North York,697021.0,32492.0,68015.0,43.7869473,-79.385975
70,M3K,Downsview East,North York,751635.0,28128.0,62635.0,43.737473200000004,-79.46476329999999
71,M3K,Downsview East,North York,751635.0,28128.0,62635.0,43.737473200000004,-79.46476329999999
72,M4K,Riverdale,East Toronto,898565.0,37297.0,65948.0,43.6795571,-79.352188
73,M4K,Riverdale,East Toronto,898565.0,37297.0,65948.0,43.6795571,-79.352188
76,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
77,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
78,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
79,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
80,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
81,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
82,M2L,York Mills,North York,1895594.0,41978.0,115493.0,43.7574902,-79.37471409999999
83,M2L,York Mills,North York,1895594.0,41978.0,115493.0,43.7574902,-79.37471409999999
84,M3L,Downsview West,North York,501643.0,24411.0,59669.0,43.7390146,-79.5069436
85,M4L,India Bazaar,East Toronto,752621.0,40227.0,81014.0,43.6689985,-79.31557159999998
