,neighborhood,borough,area,overall,category,score,rating,dwelling,lat,long,size,grade,dwelling_bins
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Affordability,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Affordability,3.0,Good,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Affordability,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Affordability,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Affordability,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Safety,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Safety,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Safety,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Safety,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Safety,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Commute,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Commute,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Commute,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Commute,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Commute,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
