,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,Agincourt North,43.8054405769,-79.266712166,Menchie's,43.80833791536090,-79.26828825119230,Ice Cream Shop
17,17,Agincourt North,43.8054405769,-79.266712166,McDonald's,43.808313563434500,-79.26746149002390,Fast Food Restaurant
16,16,Agincourt North,43.8054405769,-79.266712166,Bento Box,43.80924785082760,-79.26902935359770,Japanese Restaurant
15,15,Agincourt North,43.8054405769,-79.266712166,Xe Lua Vietnamese Cuisine 火車頭,43.809224039056000,-79.26954724166930,Vietnamese Restaurant
14,14,Agincourt North,43.8054405769,-79.266712166,Everbest Bakery,43.80889916631560,-79.26962940679180,Bakery
12,12,Agincourt North,43.8054405769,-79.266712166,LCBO,43.808125688695900,-79.27004592050460,Liquor Store
11,11,Agincourt North,43.8054405769,-79.266712166,Kin Kin Bubble Tea Co,43.80785155370350,-79.27029551638600,Chinese Restaurant
10,10,Agincourt North,43.8054405769,-79.266712166,Le Château,43.808635288928400,-79.26829717339310,Clothing Store
9,9,Agincourt North,43.8054405769,-79.266712166,Wild Wing,43.80879900043360,-79.26780785019100,Wings Joint
13,13,Agincourt North,43.8054405769,-79.266712166,Smokers Corner Newstand,43.808624242713500,-79.2694367295796,Convenience Store
7,7,Agincourt North,43.8054405769,-79.266712166,Pizza Pizza,43.80831774036610,-79.26853687580640,Pizza Place
6,6,Agincourt North,43.8054405769,-79.266712166,Popeyes Louisiana Kitchen,43.80865177635270,-79.26792867989450,Fried Chicken Joint
5,5,Agincourt North,43.8054405769,-79.266712166,The Beer Store,43.8092863,-79.26367580000000,Beer Store
4,4,Agincourt North,43.8054405769,-79.266712166,Subway,43.80900706809850,-79.26762743677010,Sandwich Place
3,3,Agincourt North,43.8054405769,-79.266712166,Dollarama,43.808894,-79.26985400000000,Discount Store
2,2,Agincourt North,43.8054405769,-79.266712166,Congee Town 太皇名粥,43.80903482487380,-79.26763433869760,Chinese Restaurant
1,1,Agincourt North,43.8054405769,-79.266712166,Shoppers Drug Mart,43.808894,-79.26985400000000,Pharmacy
8,8,Agincourt North,43.8054405769,-79.266712166,Iroquois Park,43.80366643665740,-79.26798888527920,Park
31,31,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Oriental Centre 東方廣場,43.788144460931700,-79.26815223267130,Shopping Mall
32,32,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Cycle World Superstore,43.788400646115600,-79.26389008333250,Motorcycle Shop
33,33,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Centerview square,43.788084748780100,-79.2659358989749,Shopping Mall
37,37,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,The Only Cuisine 西域久保,43.78674606895500,-79.27085430184710,Chinese Restaurant
35,35,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Mandarin Shopping Centre,43.787571945861100,-79.27004228519750,Shopping Mall
36,36,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Pearl Plaza 明珠,43.786797405034100,-79.26994319454610,Shopping Mall
30,30,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Borsalino,43.788120922531700,-79.26504908695250,Mediterranean Restaurant
34,34,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,The Golden Oriental Palace Chinese Cuisine,43.788332751358700,-79.2683962657857,Chinese Restaurant
29,29,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Dumpling House 餃子莊,43.78720882109280,-79.26990941663190,Chinese Restaurant
28,28,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Shanghai Dim Sum,43.78703615843200,-79.26938030256590,Chinese Restaurant
26,26,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,TD Canada Trust,43.78848031250700,-79.26940843462940,Bank
25,25,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Le Spot,43.78816172704440,-79.26415672672610,Pool Hall
24,24,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,The Captain's Boil,43.78810093706020,-79.26508523996000,Seafood Restaurant
23,23,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Jesse Jr. (Filipino Foods & Restaurant),43.78756491773210,-79.26880977111880,Restaurant
22,22,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Asian Legend 味香村,43.78806782493320,-79.26676821861630,Chinese Restaurant
21,21,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Wonton Chai Noodle 雲吞仔,43.78772222037300,-79.26955187711840,Noodle House
20,20,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Gourmet Malaysia 膳園,43.788118459839300,-79.26667771236070,Malay Restaurant
19,19,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Yummy Cantonese Restaurant 老西関腸粉,43.78756784673070,-79.26958536632110,Cantonese Restaurant
18,18,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Congee Me 小米粥鋪,43.787391662597700,-79.26838684082030,Chinese Restaurant
27,27,Agincourt South-Malvern West,43.788657551100000,-79.2656117966,Perfect Chinese Restaurant 雅瓊海鮮酒家,43.78777423062290,-79.27029393705000,Chinese Restaurant
42,42,Alderwood,43.6049368959,-79.5416109273,Rexall,43.601951,-79.545694,Pharmacy
41,41,Alderwood,43.6049368959,-79.5416109273,Delta Variety,43.603897000000000,-79.536385,Convenience Store
38,38,Alderwood,43.6049368959,-79.5416109273,Il Paesano Pizzeria & Restaurant,43.601280000000000,-79.545028,Pizza Place
39,39,Alderwood,43.6049368959,-79.5416109273,Pizza Pizza,43.60534035117560,-79.54725175609200,Pizza Place
40,40,Alderwood,43.6049368959,-79.5416109273,Tim Hortons,43.60239631505540,-79.54504765570170,Coffee Shop
64,64,Annex,43.6715854351,-79.4040006243,food plus market 24 hrs,43.67451486879780,-79.40713764066460,Grocery Store
60,60,Annex,43.6715854351,-79.4040006243,Shoppers Drug Mart,43.674959,-79.407986,Pharmacy
61,61,Annex,43.6715854351,-79.4040006243,Beauty Boutique by Shoppers Drug Mart,43.674959,-79.407986,Cosmetics Shop
62,62,Annex,43.6715854351,-79.4040006243,Subway,43.674405254653100,-79.39986257426860,Sandwich Place
63,63,Annex,43.6715854351,-79.4040006243,Tim Hortons,43.67579963362540,-79.40353178302760,Coffee Shop
65,65,Annex,43.6715854351,-79.4040006243,Dupont Subway Station,43.674801625474300,-79.40692140269690,Metro Station
59,59,Annex,43.6715854351,-79.4040006243,Martino's Pizza,43.67555992434720,-79.40355789179390,Pizza Place
67,67,Annex,43.6715854351,-79.4040006243,Fet Zun,43.675147000000000,-79.406346,Middle Eastern Restaurant
68,68,Annex,43.6715854351,-79.4040006243,Global Pet Foods,43.67557973121580,-79.40338561960980,Pet Store
69,69,Annex,43.6715854351,-79.4040006243,Krispy Kreme Doughnut Cafe,43.674732,-79.40773,Donut Shop
70,70,Annex,43.6715854351,-79.4040006243,Taddle Creek Park,43.66999014108490,-79.39849080021130,Park
71,71,Annex,43.6715854351,-79.4040006243,Masters Buffeteria Catering,43.66733299092000,-79.40247489133580,Restaurant
66,66,Annex,43.6715854351,-79.4040006243,Annex Grill and Bar,43.67491340106580,-79.40670910550230,Asian Restaurant
58,58,Annex,43.6715854351,-79.4040006243,Subway,43.674965,-79.406868,Sandwich Place
72,72,Annex,43.6715854351,-79.4040006243,Salt & Pepper Catering Co,43.67448968742270,-79.39938248037570,Café
56,56,Annex,43.6715854351,-79.4040006243,LCBO,43.67534443172660,-79.40532725232430,Liquor Store
57,57,Annex,43.6715854351,-79.4040006243,Royal Canadian Yacht Club,43.668706923225900,-79.39993886412730,Social Club
43,43,Annex,43.6715854351,-79.4040006243,Ezra's Pound,43.675152833230300,-79.40585846415300,Café
45,45,Annex,43.6715854351,-79.4040006243,Roti Cuisine of India,43.67461834990480,-79.40824866273740,Indian Restaurant
46,46,Annex,43.6715854351,-79.4040006243,Jean Sibelius Square,43.67142628683920,-79.40883090368690,Park
47,47,Annex,43.6715854351,-79.4040006243,The Madison Avenue Pub,43.667946944171400,-79.40348638003230,Pub
48,48,Annex,43.6715854351,-79.4040006243,Big Crow,43.67589607649130,-79.40368028354100,BBQ Joint
44,44,Annex,43.6715854351,-79.4040006243,Rose & Sons,43.675668475882800,-79.40361659752440,American Restaurant
50,50,Annex,43.6715854351,-79.4040006243,Madame Boeuf And Flea,43.67524,-79.40662000000000,Burger Joint
51,51,Annex,43.6715854351,-79.4040006243,Magic Oven,43.6748946772507,-79.40699407078070,Pizza Place
52,52,Annex,43.6715854351,-79.4040006243,Le Paradis,43.67500732033420,-79.40003625111300,French Restaurant
53,53,Annex,43.6715854351,-79.4040006243,Pour House,43.675640867179200,-79.40382084040040,Pub
54,54,Annex,43.6715854351,-79.4040006243,Haute Coffee,43.67581790212790,-79.40279309076070,Café
55,55,Annex,43.6715854351,-79.4040006243,The Annex Hodgepodge,43.674975198818300,-79.40654256081910,Sandwich Place
49,49,Annex,43.6715854351,-79.4040006243,Live Organic Food Bar,43.67505287052670,-79.40671518307250,Vegetarian / Vegan Restaurant
85,85,Banbury-Don Mills,43.737657004300000,-79.3497179808,Tim Hortons,43.7374907205239,-79.34388130903240,Coffee Shop
86,86,Banbury-Don Mills,43.737657004300000,-79.3497179808,Chatime,43.73553,-79.34765,Bubble Tea Shop
87,87,Banbury-Don Mills,43.737657004300000,-79.3497179808,Pet Valu,43.73554657001040,-79.3470974778553,Pet Store
89,89,Banbury-Don Mills,43.737657004300000,-79.3497179808,New Balance Toronto,43.736038,-79.344798,Shoe Store
92,92,Banbury-Don Mills,43.737657004300000,-79.3497179808,Browns Shoes,43.73527779332530,-79.34466623025160,Shoe Store
91,91,Banbury-Don Mills,43.737657004300000,-79.3497179808,Salomon,43.73471569685010,-79.34539620707140,Sporting Goods Shop
93,93,Banbury-Don Mills,43.737657004300000,-79.3497179808,Banana Republic,43.7352101719759,-79.34457997024150,Clothing Store
84,84,Banbury-Don Mills,43.737657004300000,-79.3497179808,Fabbrica,43.73669064449140,-79.34495158253720,Italian Restaurant
90,90,Banbury-Don Mills,43.737657004300000,-79.3497179808,Eddie Bauer,43.73596343333330,-79.34480238333330,Clothing Store
83,83,Banbury-Don Mills,43.737657004300000,-79.3497179808,Subway,43.73554357677850,-79.34743924790710,Sandwich Place
88,88,Banbury-Don Mills,43.737657004300000,-79.3497179808,McKewan,43.736117342945,-79.34496326391250,Gourmet Shop
81,81,Banbury-Don Mills,43.737657004300000,-79.3497179808,Shoppers Drug Mart,43.737261,-79.34586800000000,Pharmacy
80,80,Banbury-Don Mills,43.737657004300000,-79.3497179808,LCBO,43.73632288176400,-79.34611450909890,Liquor Store
79,79,Banbury-Don Mills,43.737657004300000,-79.3497179808,Beauty Boutique by Shoppers Drug Mart,43.73694395097220,-79.34561366431520,Cosmetics Shop
78,78,Banbury-Don Mills,43.737657004300000,-79.3497179808,McEwan,43.73625640025340,-79.34513152081720,Gourmet Shop
82,82,Banbury-Don Mills,43.737657004300000,-79.3497179808,Pizza Pizza,43.73457903098560,-79.34629045702410,Pizza Place
77,77,Banbury-Don Mills,43.737657004300000,-79.3497179808,Lindt & Sprüngli,43.734806,-79.34524,Chocolate Shop
76,76,Banbury-Don Mills,43.737657004300000,-79.3497179808,Cineplex VIP Cinemas Don Mills,43.73427877090650,-79.34616425228230,Movie Theater
75,75,Banbury-Don Mills,43.737657004300000,-79.3497179808,Starbucks Reserve Bar,43.735764352651000,-79.34415591212020,Coffee Shop
74,74,Banbury-Don Mills,43.737657004300000,-79.3497179808,CF Shops at Don Mills,43.73501112909840,-79.34478724407990,Shopping Mall
73,73,Banbury-Don Mills,43.737657004300000,-79.3497179808,Congee Queen 皇后名粥,43.73597737291230,-79.3473556180319,Cantonese Restaurant
97,97,Bathurst Manor,43.7648133077,-79.4560551588,Irving W. Chapley Community Centre  & Park,43.7612472550839,-79.45550910036650,Park
96,96,Bathurst Manor,43.7648133077,-79.4560551588,Wilmington Park,43.76153364053550,-79.45609146657660,Playground
95,95,Bathurst Manor,43.7648133077,-79.4560551588,Chapley Baseball Park,43.76209961275250,-79.45586621215950,Baseball Field
94,94,Bathurst Manor,43.7648133077,-79.4560551588,Wilmington Convenience And Produce,43.764924926120500,-79.45508605844660,Convenience Store
166,166,Bay Street Corridor,43.6575113467,-79.3857212509,Hangry Burger,43.660709996948200,-79.38283826775840,Burger Joint
165,165,Bay Street Corridor,43.6575113467,-79.3857212509,California Sandwiches,43.66082498934540,-79.38288750546260,Sandwich Place
164,164,Bay Street Corridor,43.6575113467,-79.3857212509,W Burger Bar,43.661331008356300,-79.3835570768382,Burger Joint
167,167,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.661527,-79.383411,Coffee Shop
163,163,Bay Street Corridor,43.6575113467,-79.3857212509,Milestones,43.65630763877400,-79.38082230024880,Fast Food Restaurant
162,162,Bay Street Corridor,43.6575113467,-79.3857212509,Fran's,43.66125532013860,-79.38389304122870,Diner
161,161,Bay Street Corridor,43.6575113467,-79.3857212509,Chipotle Mexican Grill,43.656860000000000,-79.38091,Mexican Restaurant
160,160,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.656755,-79.380512,Coffee Shop
159,159,Bay Street Corridor,43.6575113467,-79.3857212509,Hard Candy Fitness,43.65955618049780,-79.38244024080490,Gym / Fitness Center
158,158,Bay Street Corridor,43.6575113467,-79.3857212509,Bulk Barn,43.66133968259280,-79.38268765156150,Grocery Store
148,148,Bay Street Corridor,43.6575113467,-79.3857212509,Urban Herbivore,43.65497185575340,-79.38085556030270,Vegetarian / Vegan Restaurant
156,156,Bay Street Corridor,43.6575113467,-79.3857212509,The 3 Brewers,43.655474284721,-79.38041324445060,Beer Bar
155,155,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks (MaRS),43.65945605353150,-79.39041123272170,Coffee Shop
154,154,Bay Street Corridor,43.6575113467,-79.3857212509,Cineplex Cinemas,43.656125559486100,-79.38039005666790,Movie Theater
153,153,Bay Street Corridor,43.6575113467,-79.3857212509,306 Yonge Street - Jordan Store,43.65649471160900,-79.38101531134680,Sporting Goods Shop
152,152,Bay Street Corridor,43.6575113467,-79.3857212509,Reds Midtown Tavern,43.659128249470000,-79.38226565563250,Wine Bar
151,151,Bay Street Corridor,43.6575113467,-79.3857212509,Ali Baba's - Yonge north of Dundas,43.65791597172260,-79.38168923893140,Middle Eastern Restaurant
150,150,Bay Street Corridor,43.6575113467,-79.3857212509,Nordstrom,43.655041,-79.3809665,Clothing Store
149,149,Bay Street Corridor,43.6575113467,-79.3857212509,BMV Books,43.6570470610916,-79.3816606143166,Bookstore
168,168,Bay Street Corridor,43.6575113467,-79.3857212509,DAVIDsTEA,43.655069819496600,-79.38059022205870,Tea Room
157,157,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.659509,-79.382132,Coffee Shop
169,169,Bay Street Corridor,43.6575113467,-79.3857212509,Bed Bath & Beyond,43.659271600000000,-79.3830096,Furniture / Home Store
189,189,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.659695,-79.388706,Coffee Shop
171,171,Bay Street Corridor,43.6575113467,-79.3857212509,Jack Astor's Bar & Grill,43.656019399920600,-79.38032551379720,Restaurant
147,147,Bay Street Corridor,43.6575113467,-79.3857212509,Lebanon Express,43.66099058425060,-79.38297576948110,Falafel Restaurant
192,192,Bay Street Corridor,43.6575113467,-79.3857212509,Pumpernickel's @ MaRS,43.66011108672240,-79.3881935242235,Deli / Bodega
191,191,Bay Street Corridor,43.6575113467,-79.3857212509,BDC - Business Development Bank of Canada,43.659722268203300,-79.38871979713440,Business Service
190,190,Bay Street Corridor,43.6575113467,-79.3857212509,Second Cup,43.66072167169130,-79.38630837243240,Coffee Shop
188,188,Bay Street Corridor,43.6575113467,-79.3857212509,Est West Cafe,43.65954133608130,-79.39063666861080,Salad Place
187,187,Bay Street Corridor,43.6575113467,-79.3857212509,Tosto,43.661198,-79.386414,Italian Restaurant
186,186,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.65952575859540,-79.39027029345040,Coffee Shop
185,185,Bay Street Corridor,43.6575113467,-79.3857212509,7-Eleven,43.661214456634000,-79.38277333974840,Convenience Store
184,184,Bay Street Corridor,43.6575113467,-79.3857212509,Booster Juice,43.66084631,-79.38354609,Smoothie Shop
183,183,Bay Street Corridor,43.6575113467,-79.3857212509,Subway,43.659467098954500,-79.38824850471560,Sandwich Place
182,182,Bay Street Corridor,43.6575113467,-79.3857212509,Fine Asian Bowl,43.655341208477700,-79.38032614654340,Vietnamese Restaurant
181,181,Bay Street Corridor,43.6575113467,-79.3857212509,The Saint James Hotel,43.659398011457000,-79.38093249633710,Hotel
180,180,Bay Street Corridor,43.6575113467,-79.3857212509,Ritz Caribbean Foods,43.66150023337990,-79.38322536850160,Caribbean Restaurant
179,179,Bay Street Corridor,43.6575113467,-79.3857212509,Winners,43.6609971311074,-79.3835994601249,Clothing Store
178,178,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.65907956058060,-79.38056191501430,Coffee Shop
177,177,Bay Street Corridor,43.6575113467,-79.3857212509,Colaba Junction,43.660940000000000,-79.385635,Indian Restaurant
176,176,Bay Street Corridor,43.6575113467,-79.3857212509,Upper Deck by Fran's,43.66130448614310,-79.3840381913115,Bar
175,175,Bay Street Corridor,43.6575113467,-79.3857212509,EB Games,43.65529344166870,-79.38032812642460,Video Game Store
174,174,Bay Street Corridor,43.6575113467,-79.3857212509,Bombay Street Food,43.66190434754230,-79.3861453057871,Indian Restaurant
173,173,Bay Street Corridor,43.6575113467,-79.3857212509,freshii,43.66128623053020,-79.38396405932680,Salad Place
172,172,Bay Street Corridor,43.6575113467,-79.3857212509,Booster Juice,43.660323,-79.38544500000000,Juice Bar
170,170,Bay Street Corridor,43.6575113467,-79.3857212509,Dollarama,43.66068,-79.38468,Discount Store
146,146,Bay Street Corridor,43.6575113467,-79.3857212509,Nando's,43.661617063339000,-79.38609536960360,Portuguese Restaurant
125,125,Bay Street Corridor,43.6575113467,-79.3857212509,DAVIDsTEA,43.656586190271100,-79.38116704725520,Tea Room
144,144,Bay Street Corridor,43.6575113467,-79.3857212509,The Yoga Sanctuary,43.661499497597600,-79.38363613350760,Yoga Studio
117,117,Bay Street Corridor,43.6575113467,-79.3857212509,Poke Guys,43.65489527525680,-79.38505238381620,Poke Place
116,116,Bay Street Corridor,43.6575113467,-79.3857212509,Duke's Refresher + Bar,43.658979856830400,-79.38294890507810,Bar
115,115,Bay Street Corridor,43.6575113467,-79.3857212509,Scaddabush Italian Kitchen & Bar,43.658920292028700,-79.38289105381780,Italian Restaurant
114,114,Bay Street Corridor,43.6575113467,-79.3857212509,Bubble Republic Tea House 奶茶黨部,43.656707495985000,-79.38416470657430,Bubble Tea Shop
113,113,Bay Street Corridor,43.6575113467,-79.3857212509,Silver Snail Comics,43.657031379584100,-79.38140310220500,Comic Shop
112,112,Bay Street Corridor,43.6575113467,-79.3857212509,Somethin' 2 Talk About,43.65839479027970,-79.38533765920820,Middle Eastern Restaurant
111,111,Bay Street Corridor,43.6575113467,-79.3857212509,College Park Area,43.65975136823980,-79.3849111296569,Park
110,110,Bay Street Corridor,43.6575113467,-79.3857212509,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
109,109,Bay Street Corridor,43.6575113467,-79.3857212509,Sansotei Ramen 三草亭,43.65515746756130,-79.38650067479340,Ramen Restaurant
118,118,Bay Street Corridor,43.6575113467,-79.3857212509,Salad King,43.65760101432670,-79.38161963017170,Thai Restaurant
108,108,Bay Street Corridor,43.6575113467,-79.3857212509,Elmwood Spa,43.657759234136700,-79.38258620521140,Spa
106,106,Bay Street Corridor,43.6575113467,-79.3857212509,Chatime 日出茶太,43.65554164147380,-79.38468427043240,Bubble Tea Shop
105,105,Bay Street Corridor,43.6575113467,-79.3857212509,Tsujiri,43.65537430780920,-79.38535434742990,Tea Room
104,104,Bay Street Corridor,43.6575113467,-79.3857212509,Japango,43.65526771691680,-79.38516506734890,Sushi Restaurant
103,103,Bay Street Corridor,43.6575113467,-79.3857212509,Red Lobster,43.656328,-79.38362100000000,Seafood Restaurant
102,102,Bay Street Corridor,43.6575113467,-79.3857212509,The Elm Tree Restaurant,43.65739749535260,-79.38376054171510,Modern European Restaurant
101,101,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.65857000000000,-79.38512341104500,Coffee Shop
100,100,Bay Street Corridor,43.6575113467,-79.3857212509,The Queen and Beaver Public House,43.65747228208780,-79.38352412327920,Gastropub
99,99,Bay Street Corridor,43.6575113467,-79.3857212509,Hailed Coffee,43.65883296982350,-79.38368351986600,Coffee Shop
98,98,Bay Street Corridor,43.6575113467,-79.3857212509,Jimmy's Coffee,43.65842123574500,-79.38561319551110,Coffee Shop
107,107,Bay Street Corridor,43.6575113467,-79.3857212509,MUJI,43.656024,-79.383284,Miscellaneous Shop
120,120,Bay Street Corridor,43.6575113467,-79.3857212509,Infuse Cafe,43.6580680435525,-79.38172645275610,Coffee Shop
119,119,Bay Street Corridor,43.6575113467,-79.3857212509,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.656062872456400,-79.38369472446470,Dessert Shop
122,122,Bay Street Corridor,43.6575113467,-79.3857212509,Bubble Bath & Spa,43.659049517466100,-79.38534357912430,Spa
143,143,Bay Street Corridor,43.6575113467,-79.3857212509,Cafe Plenty,43.65457125894360,-79.38944976536850,Café
142,142,Bay Street Corridor,43.6575113467,-79.3857212509,Coffee Public,43.66076299149320,-79.38618409033070,Coffee Shop
141,141,Bay Street Corridor,43.6575113467,-79.3857212509,Ali Baba's,43.65491647880550,-79.38717216891470,Middle Eastern Restaurant
140,140,Bay Street Corridor,43.6575113467,-79.3857212509,Butter Baker,43.655669270961600,-79.3842978108375,Bakery
139,139,Bay Street Corridor,43.6575113467,-79.3857212509,doubletree fitness center (Doubletree Fitness Centre),43.65460313972430,-79.38620388507840,Gym / Fitness Center
